City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
230,Riachao,BR,72.93,broken clouds,-7.3619,-46.6172,Pousada Nordestina
231,Giyani,ZA,71.98,broken clouds,-23.3025,30.7187,Kulani Country Lodge
233,Castro,BR,61.47,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
235,Homa Bay,KE,67.46,overcast clouds,-0.5273,34.4571,ACK Guest House - Homa Bay
237,Newburgh,US,41.88,overcast clouds,41.5034,-74.0104,Ramada by Wyndham Newburgh/West Point
241,Savalou,BJ,78.76,overcast clouds,7.9281,1.9756,Hotel F&F
242,Great Bend,US,62.73,clear sky,38.3645,-98.7648,Best Western Angus Inn
243,Berekum,GH,74.55,overcast clouds,7.4534,-2.584,Nyame Nnae Hotel
245,Sitka,US,42.69,broken clouds,57.0531,-135.33,Westmark Sitka
246,Port Lincoln,AU,68.49,clear sky,-34.7333,135.8667,Port Lincoln Hotel
247,Vicuna,CL,49.73,clear sky,-30.0319,-70.7081,Los Mosaicos
248,Acapulco,MX,76.82,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
249,Necochea,AR,50.88,clear sky,-38.5473,-58.7368,dyd -mar Hotel
250,Vao,NC,79.32,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
251,Lincoln,US,57.11,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
252,Mascote,BR,70.84,few clouds,-15.5631,-39.3025,Fazenda Novo ORIENTE
255,Camacha,PT,56.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
256,Klaksvik,FO,41.92,overcast clouds,62.2266,-6.589,Airbnb rooms
257,Saldanha,ZA,59.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
258,Estelle,US,70.0,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
259,Meadow Lake,US,69.28,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
260,Nanhai,CN,65.89,overcast clouds,30.1282,111.7784,Jingnan Hotel
261,Along,IN,67.3,overcast clouds,28.1667,94.7667,Hotel West
262,Haverfordwest,GB,48.06,moderate rain,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
266,Chicama,PE,64.94,broken clouds,-7.8447,-79.1469,Balihai Bungalows
268,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
269,Carbonia,IT,47.05,overcast clouds,39.1672,8.5222,Lu 'Hotel
270,Mahon,ES,48.76,scattered clouds,39.8885,4.2658,ARTIEM Capri
280,Mazatlan,MX,71.91,clear sky,23.2167,-106.4167,Hotel La Siesta
282,Kropotkin,RU,45.25,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
286,Coahuayana,MX,68.4,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
288,Sasvad,IN,78.21,overcast clouds,18.3333,74.0333,Adsul Farm
289,Filadelfia,US,46.94,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
291,Delhi,IN,77.09,haze,28.6667,77.2167,Maidens Hotel
292,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
299,Antalaha,MG,74.61,broken clouds,-14.9003,50.2788,Hotel Vitasoa
300,Kutum,SD,71.85,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
303,Constitucion,CL,53.83,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
307,Carballo,ES,43.02,clear sky,43.213,-8.691,Pazo do Souto
308,Rolante,BR,72.66,overcast clouds,-29.6506,-50.5758,Hotel Tadiotto
310,Mildura,AU,75.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
311,Karwar,IN,78.62,broken clouds,14.8,74.1333,Netalco Connects
312,Sakakah,SA,72.97,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
313,Gbarnga,LR,72.28,overcast clouds,6.9956,-9.4722,Passion Hotel 2
314,Coquimbo,CL,56.93,clear sky,-29.9533,-71.3436,Hotel San Juan
316,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
317,Suixi,CN,59.83,overcast clouds,33.8907,116.7747,Campanile Hotel
320,Belmonte,BR,76.93,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
321,Camocim,BR,76.3,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
322,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
323,Tucuman,AR,60.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
325,Bhiwani,IN,77.07,clear sky,28.7833,76.1333,Gaur Guest House
328,Susanville,US,51.46,overcast clouds,40.4163,-120.653,Comfort Inn & Suites
331,Riyadh,SA,77.14,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
333,Santa Paula,US,63.37,overcast clouds,34.3542,-119.0593,Santa Paula Inn
334,Mountain Home,US,62.08,clear sky,43.133,-115.6912,Mountain Home Inn
335,Moultonborough,US,41.59,overcast clouds,43.7548,-71.3967,Moultonborough Inn
336,Xichang,CN,53.29,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
337,Portland,US,55.44,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
339,Bani,DO,78.85,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
341,Gat,IL,68.4,clear sky,31.61,34.7642,OlusHome
344,Ballina,AU,75.02,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
345,North Bend,US,56.25,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
346,Launceston,AU,74.61,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
347,Coihaique,CL,51.75,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
351,Handan,CN,63.48,overcast clouds,36.6006,114.4678,Jin Jiang Inn - Handan China South Street Inn
354,Mount Gambier,AU,62.51,overcast clouds,-37.8333,140.7667,The Commodore
356,Zlitan,LY,58.68,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
357,Miles City,US,52.77,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
360,Lima,PE,72.9,clear sky,-12.0432,-77.0282,Hotel Kamana
361,Orange,US,66.54,overcast clouds,33.7,-117.7675,Meadows
363,Stornoway,GB,49.96,light intensity drizzle,58.2093,-6.3865,Caladh Inn
364,Darnah,LY,59.97,clear sky,32.767,22.6367,فندق الفردوس
367,Zinder,NE,77.92,broken clouds,13.8072,8.9881,Hotel de Ville
368,Aswan,EG,79.9,clear sky,24.0934,32.907,Nuba Nile
369,Makat,KZ,55.98,overcast clouds,47.6469,53.3463,Umit
370,Monrovia,LR,78.57,scattered clouds,6.3005,-10.7969,Sunset Inn
372,Ta Khmau,KH,77.05,scattered clouds,11.4833,104.95,Takhmao Good Health Hotel
373,Codrington,AU,63.37,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
376,Naze,JP,65.32,clear sky,28.3667,129.4833,Shishime Hotel
378,Torata,PE,61.27,clear sky,-17.0769,-70.8433,Lodging Sra. Tina Vera
381,Encruzilhada,BR,63.91,light rain,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
382,Hashtgerd,IR,53.44,overcast clouds,35.9642,50.6858,Parse System
385,Maragogi,BR,77.94,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
386,Sheridan,US,50.38,clear sky,44.8333,-106.9173,Comfort Inn & Suites
388,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
389,Antofagasta,CL,61.88,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
390,Sandwick,GB,46.22,drizzle,60.0,-1.25,Beach House Self-Catering Accomodation
391,Fountain,US,45.7,clear sky,38.6822,-104.7008,Colorado Springs KOA Holiday
392,Hurghada,EG,75.24,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
393,Ukiah,US,62.49,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
394,Uaua,BR,72.37,scattered clouds,-9.8414,-39.4817,Hotel Uauá
396,Moree,AU,77.02,broken clouds,-29.4667,149.85,Molika Springs Motel
397,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
402,Atar,MR,66.74,clear sky,20.5169,-13.0499,Oumou Elghoura
406,Lata,PT,43.92,clear sky,40.1629,-8.3327,Casa Maquia
410,Lakes Entrance,AU,61.57,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
411,Touba,CI,72.9,scattered clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
414,Russell,US,69.4,clear sky,32.3502,-85.1999,Macs
415,Presidencia Roque Saenz Pena,AR,67.73,overcast clouds,-26.7852,-60.4388,Hotel Gualok
416,San Quintin,MX,59.9,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
417,Three Hills,CA,47.59,few clouds,51.7001,-113.2686,Super 8 by Wyndham Three Hills AB
418,Shimoda,JP,52.16,light rain,34.6667,138.95,Shimoda Tokyu Hotel
419,Itaituba,BR,73.22,overcast clouds,-4.2761,-55.9836,Hotel Campos
420,Basco,PH,75.67,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
421,Fenoarivo,MG,59.07,few clouds,-18.933,47.4354,Skyfol Ambodiafontsy
425,Chachapoyas,PE,55.8,overcast clouds,-6.2317,-77.869,Teresita
426,Matay,EG,67.71,broken clouds,28.419,30.7792,Nag Aespen
428,Asosa,ET,70.07,scattered clouds,10.0667,34.5333,Blendana Hotel Assosa
429,Huilong,CN,58.93,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
434,Parana,AR,67.57,light rain,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
437,Yongan,CN,56.3,scattered clouds,39.6957,113.6871,Beiyue International Hotel
439,Bud,US,49.95,broken clouds,39.447,-86.1758,Ted McQuinn Trust
442,Forio,IT,48.45,overcast clouds,40.7342,13.8646,Hotel Terme Providence
444,Springdale,US,67.73,scattered clouds,36.1867,-94.1288,Springdale Inn
