City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
113,Neuquen,-38.9516,-68.0591,57.09,38,0,9.22,AR,clear sky
114,Sao Filipe,14.8961,-24.4956,70.54,74,4,6.96,CV,clear sky
115,Kanniyakumari,8.0833,77.5667,81.59,77,37,2.98,IN,scattered clouds
116,Provideniya,64.3833,-173.3,10.51,67,0,15.99,RU,clear sky
117,Saint-Francois,46.4154,3.9054,33.24,80,0,1.14,FR,clear sky
118,Los Llanos De Aridane,28.6585,-17.9182,55.15,88,0,8.05,ES,clear sky
119,Carnarvon,-24.8667,113.6333,78.87,78,40,11.5,AU,scattered clouds
120,Goundam,16.4145,-3.6708,83.8,12,86,4.59,ML,overcast clouds
121,Nara,34.6851,135.8049,59.92,43,5,6.42,JP,clear sky
122,Colac,-38.3333,143.5833,61.18,58,84,7.4,AU,broken clouds
123,Qitaihe,45.8,130.85,60.26,25,2,16.04,CN,clear sky
124,Araouane,18.9048,-3.5265,82.83,14,2,5.95,ML,clear sky
125,Airai,-8.9266,125.4092,73.18,51,9,2.48,TL,clear sky
126,Hithadhoo,-0.6,73.0833,82.81,68,5,3.78,MV,clear sky
127,Yellowknife,62.456,-114.3525,24.42,64,40,13.8,CA,scattered clouds
128,Akdepe,42.0551,59.3788,59.09,25,1,11.23,TM,clear sky
129,Tres Lagoas,-20.7511,-51.6783,76.5,68,34,4.94,BR,scattered clouds
130,Suffolk,40.8668,-72.7996,43.86,90,100,4.61,US,overcast clouds
131,Shache,38.4167,77.2406,58.98,21,0,4.54,CN,clear sky
132,Lake City,30.1897,-82.6393,62.85,72,0,0.0,US,clear sky
133,Khatanga,71.9667,102.5,-16.44,99,93,2.66,RU,overcast clouds
134,La Ciotat,43.1748,5.6045,44.47,78,2,6.26,FR,clear sky
135,Nuuk,64.1835,-51.7216,34.41,86,6,9.22,GL,clear sky
136,Chuy,-33.6971,-53.4616,63.12,95,6,5.46,UY,clear sky
137,Batagay-Alyta,67.8006,130.4114,3.72,86,98,2.48,RU,overcast clouds
138,Mwinilunga,-11.7358,24.4293,62.91,96,100,0.27,ZM,overcast clouds
139,Rongcheng,30.634,117.8517,63.66,53,59,2.51,CN,broken clouds
140,Beringovskiy,63.05,179.3167,2.64,75,60,17.52,RU,broken clouds
141,Pangnirtung,66.1451,-65.7125,23.36,93,100,1.45,CA,overcast clouds
142,Malindi,-3.2175,40.1191,80.73,79,24,7.0,KE,few clouds
143,Upernavik,72.7868,-56.1549,13.87,82,94,3.38,GL,overcast clouds
144,Motril,36.7507,-3.5179,51.28,82,99,4.27,ES,overcast clouds
145,Aquiraz,-3.9014,-38.3911,77.09,91,87,8.03,BR,moderate rain
146,Ancud,-41.8697,-73.8203,51.22,90,100,4.85,CL,light rain
147,Qui Nhon,13.7667,109.2333,73.13,84,100,20.33,VN,overcast clouds
148,Luderitz,-26.6481,15.1594,58.06,87,0,4.25,NA,clear sky
149,Margate,51.3813,1.3862,40.3,69,98,4.0,GB,overcast clouds
150,Marsa Matruh,31.3525,27.2453,59.2,94,48,9.22,EG,scattered clouds
151,Ilulissat,69.2167,-51.1,21.22,86,23,0.0,GL,few clouds
152,Arlit,18.7369,7.3853,82.26,5,99,7.78,NE,overcast clouds
153,Natal,-5.795,-35.2094,77.22,100,75,4.61,BR,broken clouds
154,Esperance,-33.8667,121.9,66.04,87,95,12.41,AU,light rain
155,Longyearbyen,78.2186,15.6401,8.44,52,20,23.02,SJ,few clouds
156,Esmeralda,21.8525,-78.1169,75.69,80,31,1.34,CU,scattered clouds
157,Shelburne,44.0787,-80.2041,31.77,90,10,7.14,CA,clear sky
158,Nanakuli,21.3906,-158.1547,82.35,59,20,11.5,US,few clouds
159,Lasa,46.6166,10.7002,33.69,95,97,1.88,IT,overcast clouds
160,Port Blair,11.6667,92.75,84.24,74,40,3.44,IN,scattered clouds
161,Tikaitnagar,26.95,81.5833,83.3,7,0,1.95,IN,clear sky
162,Bengkulu,-3.8004,102.2655,81.54,63,28,3.74,ID,scattered clouds
163,Wattegama,6.7989,81.4808,77.2,85,12,0.92,LK,few clouds
164,Willowmore,-33.2926,23.4895,56.61,90,2,1.97,ZA,clear sky
165,Inhambane,-23.865,35.3833,75.22,74,0,8.52,MZ,clear sky
166,Tezu,27.9167,96.1667,65.64,95,100,5.19,IN,light rain
167,Kruisfontein,-34.0033,24.7314,57.88,86,27,4.05,ZA,scattered clouds
168,Solenzo,12.1833,-4.0833,90.91,34,99,7.81,BF,overcast clouds
169,Kalabo,-14.97,22.6814,65.16,94,86,2.39,ZM,moderate rain
170,Vestmannaeyjar,63.4427,-20.2734,42.93,82,100,8.01,IS,overcast clouds
171,Kavaratti,10.5669,72.642,82.51,70,27,5.91,IN,scattered clouds
172,Beinamar,8.6698,15.3813,82.74,23,100,5.97,TD,overcast clouds
173,Gladstone,-23.85,151.25,82.33,57,75,12.66,AU,broken clouds
174,Hobart,-42.8794,147.3294,67.86,75,75,8.05,AU,broken clouds
175,Roebourne,-20.7833,117.1333,89.17,45,0,7.9,AU,clear sky
176,Istok,42.7808,20.4875,34.75,87,100,2.48,XK,overcast clouds
177,Abu Dhabi,24.4667,54.3667,72.97,93,75,3.44,AE,mist
178,Cidreira,-30.1811,-50.2056,68.65,97,100,8.88,BR,overcast clouds
179,Chokurdakh,70.6333,147.9167,-1.66,90,97,4.41,RU,overcast clouds
180,Ponta Do Sol,32.6667,-17.1,60.71,61,88,13.53,PT,overcast clouds
181,La Ronge,55.1001,-105.2842,41.25,52,20,4.61,CA,few clouds
182,Porterville,36.0652,-119.0168,78.75,22,0,2.91,US,clear sky
183,Tarko-Sale,64.9225,77.785,19.76,92,100,20.29,RU,overcast clouds
184,Yinchuan,38.4681,106.2731,58.05,11,100,5.48,CN,overcast clouds
185,Pascagoula,30.3658,-88.5561,66.92,84,0,0.0,US,clear sky
186,Nouadhibou,20.931,-17.0347,64.38,94,0,10.36,MR,clear sky
187,Souillac,-20.5167,57.5167,79.18,83,40,11.5,MU,scattered clouds
188,Cockburn Town,21.4612,-71.1419,78.33,81,5,13.96,TC,clear sky
189,San Patricio,28.017,-97.5169,74.53,74,98,12.5,US,overcast clouds
190,Padang,-0.9492,100.3543,82.45,61,3,2.21,ID,clear sky
191,Puri,19.8,85.85,82.92,82,22,20.31,IN,few clouds
192,Baherden,38.4362,57.4316,74.37,20,0,5.57,TM,clear sky
193,Praya,14.9215,-23.5087,68.54,73,20,8.05,CV,few clouds
194,Laguna,38.421,-121.4238,77.13,34,0,11.5,US,clear sky
195,Hauterive,46.0901,3.4459,36.36,94,45,1.16,FR,scattered clouds
196,Kavieng,-2.5744,150.7967,84.4,67,100,5.86,PG,overcast clouds
197,Kedougou,12.5579,-12.1743,83.44,22,31,3.47,SN,scattered clouds
198,Ribeira Grande,38.5167,-28.7,59.9,76,100,15.77,PT,overcast clouds
199,Fortuna,40.5982,-124.1573,54.93,67,0,8.05,US,clear sky
200,Bethel,41.3712,-73.414,41.76,90,99,1.99,US,overcast clouds
201,Hofn,64.2539,-15.2082,32.88,83,100,15.86,IS,overcast clouds
202,Grindavik,63.8424,-22.4338,37.87,81,75,13.8,IS,broken clouds
203,Hasaki,35.7333,140.8333,54.0,84,100,17.43,JP,moderate rain
204,Popondetta,-8.7537,148.2534,84.22,68,100,4.18,PG,overcast clouds
205,Benguela,-12.5763,13.4055,75.65,84,85,4.03,AO,overcast clouds
206,Korcula,42.9622,17.1369,48.92,58,100,8.84,HR,overcast clouds
207,Yumen,40.2833,97.2,54.63,18,0,12.88,CN,clear sky
208,Pizarro,4.9533,-77.366,79.23,86,100,1.12,CO,light rain
